word1,word2,MEN,cos
river,stream,45.0,0.3413155972957611
lake,water,45.0,0.5363801717758179
kittens,kitty,45.0,0.5453516244888306
snow,snowman,45.0,0.5248613357543945
dog,terrier,45.0,0.4848436117172241
daffodils,flowers,45.0,0.39517101645469666
pond,water,45.0,0.5147513151168823
show,television,44.0,0.5503564476966858
handwriting,written,44.0,0.36768484115600586
flood,water,44.0,0.46807482838630676
jazz,musicians,44.0,0.45610639452934265
eagle,feathers,44.0,0.4014853239059448
grapes,vine,44.0,0.21820467710494995
birds,hawk,44.0,0.4249825179576874
clothes,outfit,44.0,0.6421710252761841
exhibition,museum,44.0,0.6380569338798523
hand,palm,44.0,0.5141592621803284
grave,graveyard,44.0,0.13043731451034546
berry,strawberry,44.0,0.5421825647354126
forest,oak,44.0,0.5503814816474915
crochet,knitting,44.0,0.6540896892547607
birds,eagle,44.0,0.3972487449645996
canine,puppy,44.0,0.3410269021987915
bar,cocktail,44.0,0.49908575415611267
bar,pub,44.0,0.6193442940711975
sunlight,sunshine,44.0,0.4578353762626648
apple,fruit,44.0,0.46708008646965027
sun,sunrise,44.0,0.5957079529762268
gymnastics,sports,44.0,0.46609169244766235
sailing,ship,44.0,0.516813337802887
beach,sea,44.0,0.43831080198287964
game,hockey,44.0,0.6055200099945068
bed,pillow,44.0,0.6324120163917542
daffodils,tulip,44.0,0.3464233875274658
flowers,plant,44.0,0.48177647590637207
fire,smoke,44.0,0.4723277688026428
canine,dog,44.0,0.43781518936157227
bracelet,jewelry,44.0,0.6776058077812195
feline,kitty,44.0,0.4164551794528961
architecture,building,44.0,0.5691270232200623
shop,shopping,44.0,0.688841700553894
highway,traffic,44.0,0.6345109939575195
lizard,reptiles,44.0,0.3019457459449768
music,piano,44.0,0.50591641664505
strawberry,sweet,44.0,0.5174317955970764
snow,winter,44.0,0.7181992530822754
autumn,spring,44.0,0.6949572563171387
bacon,meat,44.0,0.5519039034843445
raspberry,strawberry,44.0,0.555534839630127
chipmunk,squirrel,44.0,0.47191157937049866
coast,harbor,44.0,0.42128148674964905
dress,skirt,44.0,0.8098673224449158
sun,sunny,44.0,0.6040527820587158
lily,tulip,44.0,0.27397143840789795
grave,gravestone,44.0,0.10641155391931534
bright,sunny,44.0,0.4883313775062561
dandelion,plant,44.0,0.316813588142395
light,sunlight,44.0,0.46222400665283203
hill,mountain,43.0,0.6036872863769531
burger,food,43.0,0.602263331413269
sea,shore,43.0,0.43380650877952576
feathers,peacock,43.0,0.5182555913925171
children,mother,43.0,0.6084646582603455
night,sunset,43.0,0.49906155467033386
orange,peel,43.0,0.47450923919677734
subway,train,43.0,0.4408203065395355
camera,lens,43.0,0.620143473148346
daisy,petals,43.0,0.27863287925720215
aircraft,wing,43.0,0.35389474034309387
bloom,flowers,43.0,0.5185245275497437
clothes,jacket,43.0,0.561467170715332
dinner,restaurant,43.0,0.6274363398551941
swim,swimming,43.0,0.8064505457878113
cemetery,gravestone,43.0,0.31126856803894043
cigarette,smoke,43.0,0.6381829977035522
shirt,skirt,43.0,0.6299062371253967
baby,pregnant,43.0,0.5137155055999756
cherry,fruit,43.0,0.45253849029541016
beef,meat,43.0,0.7156543135643005
blossom,daffodils,43.0,0.29297709465026855
bloom,blossom,43.0,0.565747082233429
maple,oak,43.0,0.5902485847473145
frost,winter,43.0,0.4898674190044403
colour,pink,43.0,0.639010488986969
dog,poodle,43.0,0.49306100606918335
lantern,light,43.0,0.4821119010448456
coast,sea,43.0,0.3439434766769409
tunnel,underground,43.0,0.44330307841300964
dog,pets,43.0,0.6173151731491089
hair,haircut,43.0,0.6794025897979736
day,sunset,43.0,0.4107411503791809
bikini,swimsuit,43.0,0.6376398205757141
rail,railway,43.0,0.6079893708229065
art,museum,43.0,0.627324104309082
painting,portrait,43.0,0.6899721622467041
dress,wedding,43.0,0.6235352754592896
poodle,puppy,43.0,0.5115224719047546
port,ship,43.0,0.3532535135746002
bloom,tulip,43.0,0.36777010560035706
cold,winter,43.0,0.6819114685058594
bakery,cake,43.0,0.5350790023803711
building,roof,43.0,0.5951785445213318
iron,steel,43.0,0.575253963470459
birds,stork,43.0,0.08891668915748596
lily,plant,43.0,0.2144542783498764
eat,food,43.0,0.7688217759132385
bathroom,kitchen,43.0,0.7345290780067444
jazz,music,43.0,0.5943588614463806
fabric,wool,43.0,0.5244342088699341
aquarium,tank,43.0,0.44724056124687195
fire,flame,43.0,0.5772023797035217
bloom,rose,43.0,0.46985721588134766
leaf,nature,43.0,0.3824436366558075
town,village,43.0,0.5781813859939575
apple,orange,43.0,0.5415671467781067
dawn,sunrise,43.0,0.45398563146591187
engine,gasoline,43.0,0.3433903455734253
oak,tree,43.0,0.523733913898468
guitar,piano,43.0,0.772074818611145
chocolate,dessert,43.0,0.5664459466934204
cat,paws,43.0,0.44067302346229553
birds,goose,43.0,0.35411208868026733
blue,sky,43.0,0.6199943423271179
pool,swim,43.0,0.6141604781150818
bracelet,necklace,42.0,0.86232590675354
fruit,salad,42.0,0.6441494822502136
eggs,nest,42.0,0.37011027336120605
boat,sailing,42.0,0.5861899852752686
birds,crow,42.0,0.33630985021591187
birds,flamingo,42.0,0.28896546363830566
day,sunshine,42.0,0.5117306113243103
hockey,sports,42.0,0.6721682548522949
burger,eat,42.0,0.5435763597488403
fruit,raspberry,42.0,0.42523351311683655
lunch,sandwich,42.0,0.6393944025039673
feet,toes,42.0,0.7879655957221985
baby,mother,42.0,0.5971850752830505
amphibians,frog,42.0,0.16958221793174744
burn,fire,42.0,0.60842365026474
hockey,ice,42.0,0.4766541123390198
cold,frozen,42.0,0.5225490927696228
oak,wood,42.0,0.6496503949165344
photographer,photography,42.0,0.7188010215759277
man,women,42.0,0.5225331783294678
hair,redhead,42.0,0.3233279883861542
harbor,port,42.0,0.4111926257610321
pug,puppy,42.0,0.7040279507637024
sunrise,sunset,42.0,0.8289729356765747
leather,shoes,42.0,0.566369354724884
beach,shore,42.0,0.5212081074714661
color,red,42.0,0.5814793109893799
painted,painting,42.0,0.7187800407409668
storm,wind,42.0,0.6610420942306519
color,violet,42.0,0.42936354875564575
rain,wet,42.0,0.5563631653785706
diner,eat,42.0,0.380533903837204
bed,bedroom,42.0,0.6234607696533203
guitar,musicians,42.0,0.3951660692691803
petals,rose,42.0,0.4616394340991974
rail,subway,42.0,0.3706812560558319
holiday,vacation,42.0,0.7350137233734131
bed,sleep,42.0,0.7989940643310547
cigarette,smoking,42.0,0.650151252746582
airplane,plane,42.0,0.7274417281150818
daffodils,plant,42.0,0.15882575511932373
diner,kitchen,42.0,0.38819050788879395
coins,silver,42.0,0.4431532323360443
cake,chocolate,42.0,0.7111109495162964
evening,night,42.0,0.7655776739120483
race,racing,42.0,0.5968791246414185
flight,flying,42.0,0.6454577445983887
face,lips,42.0,0.5437802076339722
berry,raspberry,42.0,0.4728337824344635
lamp,light,42.0,0.6099395751953125
birds,nest,42.0,0.4595053493976593
mother,pregnant,42.0,0.5913655757904053
animals,pets,42.0,0.6902769207954407
butterfly,insects,42.0,0.42126351594924927
sky,sunrise,42.0,0.5204765796661377
canine,husky,42.0,0.26611819863319397
food,meat,42.0,0.6753130555152893
cloud,sky,42.0,0.550190806388855
crow,feathers,42.0,0.30357885360717773
blossom,flowers,42.0,0.5173323750495911
splash,swim,42.0,0.46630430221557617
band,musicians,42.0,0.45821207761764526
cactus,plant,42.0,0.4470439553260803
eagle,hawk,42.0,0.5960960984230042
harbour,sea,42.0,0.26526781916618347
flowers,foliage,42.0,0.30849766731262207
red,violet,42.0,0.4842415153980255
music,sing,42.0,0.47193023562431335
breakfast,morning,42.0,0.6460833549499512
cafe,restaurant,42.0,0.6782007217407227
beach,coast,42.0,0.6023178696632385
puddle,splash,42.0,0.32927000522613525
birds,pelican,42.0,0.24043048918247223
clothes,socks,42.0,0.6609939932823181
amphibians,lizard,41.0,0.15629516541957855
daughter,son,41.0,0.4589916169643402
car,motor,41.0,0.5099783539772034
amphibians,reptiles,41.0,0.49983686208724976
day,morning,41.0,0.7891742587089539
aircraft,flying,41.0,0.4876220226287842
airplane,airport,41.0,0.4108155071735382
metro,train,41.0,0.38455769419670105
band,music,41.0,0.5786359310150146
shadow,sunlight,41.0,0.35906288027763367
night,sleep,41.0,0.7483475804328918
salad,soup,41.0,0.7768504619598389
porch,roof,41.0,0.6010737419128418
eyes,tears,41.0,0.6329048871994019
colour,rainbow,41.0,0.5017743706703186
berry,fruit,41.0,0.5247786641120911
red,yellow,41.0,0.757400631904602
socks,stockings,41.0,0.4913327991962433
flamingo,hummingbird,41.0,0.3630836606025696
tree,twigs,41.0,0.30050262808799744
kiss,lips,41.0,0.647570013999939
burger,sandwich,41.0,0.7101351022720337
pregnant,women,41.0,0.5117546319961548
rain,weather,41.0,0.7422907948493958
dinner,eat,41.0,0.6894072890281677
feathers,hawk,41.0,0.35781407356262207
animals,zoo,41.0,0.5048368573188782
duck,mallard,41.0,0.3985505700111389
mountain,valley,41.0,0.6158145666122437
beach,harbour,41.0,0.48355862498283386
musicians,rock,41.0,0.37896454334259033
band,guitar,41.0,0.5160253047943115
car,garage,41.0,0.6269806623458862
feet,leg,41.0,0.5607459545135498
sky,sunlight,41.0,0.3670673966407776
mist,rain,41.0,0.4260646104812622
mother,son,41.0,0.4169878661632538
airplane,wing,41.0,0.42230677604675293
colour,red,41.0,0.5400623679161072
music,musicians,41.0,0.4473620355129242
bay,beach,41.0,0.6143155694007874
blonde,redhead,41.0,0.6415534019470215
petals,plant,41.0,0.22240787744522095
kitchen,room,41.0,0.7019802927970886
lingerie,sexy,41.0,0.5317038297653198
automobile,parking,41.0,0.2203914374113083
bar,restaurant,41.0,0.6255736351013184
bedroom,room,41.0,0.7330387234687805
bus,taxi,41.0,0.7444888353347778
fun,happy,41.0,0.6126442551612854
station,train,41.0,0.5673229098320007
pelican,stork,41.0,0.2105163037776947
black,grey,41.0,0.6767300963401794
orange,yellow,41.0,0.7213735580444336
foliage,petals,41.0,0.4372851252555847
park,parking,41.0,0.5224370360374451
lips,tongue,41.0,0.6719368100166321
fog,misty,41.0,0.28375861048698425
canine,poodle,41.0,0.30466148257255554
bath,washing,41.0,0.5536762475967407
foliage,tree,41.0,0.3092498481273651
panorama,view,41.0,0.48436692357063293
bloom,daisy,41.0,0.39284029603004456
escalator,stairs,41.0,0.523208737373352
petals,tulip,41.0,0.4111291766166687
fishing,sea,41.0,0.36945077776908875
beef,cattle,41.0,0.3584010601043701
noodles,rice,41.0,0.6720104813575745
birds,parrot,41.0,0.4155116379261017
fruit,orange,41.0,0.5298028588294983
mural,painting,41.0,0.547387957572937
airport,flight,41.0,0.6111657023429871
shopping,store,41.0,0.6091174483299255
summer,sunny,41.0,0.509851336479187
road,sidewalk,41.0,0.3955734968185425
airplane,flying,41.0,0.5474094152450562
guitar,music,40.0,0.5423939824104309
cat,whiskers,40.0,0.40763160586357117
family,friends,40.0,0.7809270024299622
bloom,petals,40.0,0.37819334864616394
musicians,piano,40.0,0.3230783939361572
dirty,washing,40.0,0.5000863671302795
elephant,giraffe,40.0,0.6575272083282471
puppy,terrier,40.0,0.5059394836425781
breakfast,kitchen,40.0,0.5554237961769104
subway,underground,40.0,0.39652425050735474
sand,shore,40.0,0.30728983879089355
butterfly,dragonfly,40.0,0.5267705917358398
cheetah,lion,40.0,0.5149539113044739
color,yellow,40.0,0.585263192653656
door,locked,40.0,0.5239111185073853
bright,sunlight,40.0,0.46156907081604004
van,vehicle,40.0,0.1780623346567154
orange,red,40.0,0.7192071676254272
beetles,insects,40.0,0.43234890699386597
kids,mom,40.0,0.6496393084526062
daughter,mother,40.0,0.7674586176872253
children,school,40.0,0.5394750833511353
giraffe,zebra,40.0,0.5405345559120178
harbor,harbour,40.0,0.6800209283828735
lamb,sheep,40.0,0.4637477695941925
heart,love,40.0,0.68172687292099
lily,rose,40.0,0.5271247625350952
asphalt,road,40.0,0.3095603585243225
morning,sunny,40.0,0.5422381162643433
coast,shore,40.0,0.5181540250778198
sunny,sunset,40.0,0.5178771018981934
nest,twigs,40.0,0.1732180416584015
happy,smile,40.0,0.6129657030105591
figure,skating,40.0,0.45144301652908325
rail,train,40.0,0.49043288826942444
door,wall,40.0,0.48986050486564636
dawn,sun,40.0,0.5063124895095825
feathers,stork,40.0,0.2320566177368164
morning,sunshine,40.0,0.5281112790107727
building,construction,40.0,0.6689313650131226
cafe,coffee,40.0,0.6108596920967102
bloom,buds,40.0,0.25947335362434387
jacket,leather,40.0,0.6550878882408142
map,travel,40.0,0.48419731855392456
plant,seed,40.0,0.5100810527801514
city,metro,40.0,0.5789326429367065
pebbles,sand,40.0,0.3119916021823883
cafe,lunch,40.0,0.5314209461212158
coast,harbour,40.0,0.4221845269203186
dog,pug,40.0,0.5815917253494263
sky,sun,40.0,0.6732473373413086
mallard,swan,40.0,0.2129051685333252
cloud,rain,40.0,0.44076400995254517
sky,sunshine,40.0,0.524274468421936
frost,weather,40.0,0.393050879240036
cherry,raspberry,40.0,0.5036931037902832
downtown,street,40.0,0.6289559006690979
bloom,dandelion,40.0,0.35109370946884155
dragonfly,insects,40.0,0.4092889428138733
bottle,wine,40.0,0.7107646465301514
feel,happy,40.0,0.5723922848701477
railway,station,40.0,0.5204401016235352
beach,swimming,40.0,0.5921594500541687
cafe,diner,40.0,0.5414178371429443
cafe,pub,40.0,0.5646920800209045
building,tall,40.0,0.3748428225517273
burger,meat,40.0,0.5887419581413269
gold,silver,40.0,0.8533608317375183
summer,weather,40.0,0.6099597215652466
military,soldiers,40.0,0.67326420545578
cemetery,grave,40.0,0.32227396965026855
pizza,restaurant,39.0,0.553993284702301
bright,colour,39.0,0.5632364153862
canine,paws,39.0,0.2641567587852478
swim,underwater,39.0,0.418820321559906
sea,swim,39.0,0.3328498601913452
pub,restaurant,39.0,0.6310312151908875
day,time,39.0,0.766711413860321
canine,terrier,39.0,0.3316572904586792
bottle,glass,39.0,0.6682209968566895
bed,relaxed,39.0,0.48478132486343384
seed,sunflower,39.0,0.4775303900241852
birds,owl,39.0,0.4777184724807739
art,sculpture,39.0,0.584327220916748
light,shade,39.0,0.5978190898895264
apartment,staircase,39.0,0.3003203570842743
outfit,socks,39.0,0.5513641834259033
carrots,potatoes,39.0,0.676932156085968
lizard,snake,39.0,0.522128701210022
city,sidewalk,39.0,0.2626315653324127
guitar,rock,39.0,0.5401979088783264
brick,building,39.0,0.4837118685245514
eat,soup,39.0,0.5953224301338196
dew,misty,39.0,0.18376979231834412
blue,colour,39.0,0.6125534772872925
dawn,morning,39.0,0.4393482804298401
cooking,restaurant,39.0,0.4556674063205719
bay,sea,39.0,0.3323829770088196
cafe,shop,39.0,0.4886957108974457
floor,roof,39.0,0.5913568139076233
clothes,hat,39.0,0.41558268666267395
marble,stone,39.0,0.4555787742137909
duck,goose,39.0,0.5267676711082458
collection,museum,39.0,0.4521343410015106
happy,love,39.0,0.7250142693519592
bakery,shop,39.0,0.5034707188606262
mist,wet,39.0,0.3585394322872162
blossom,petals,39.0,0.4748833477497101
bright,light,39.0,0.6972507834434509
rice,sushi,39.0,0.45214229822158813
cooking,meat,39.0,0.5801097750663757
day,night,39.0,0.7859731912612915
kiss,love,39.0,0.6380733847618103
stream,waterfall,39.0,0.19095854461193085
interior,room,39.0,0.3385705053806305
surf,surfers,39.0,0.603672981262207
poodle,terrier,39.0,0.5406025648117065
cold,frost,39.0,0.4696127474308014
city,town,39.0,0.7096154093742371
ocean,underwater,39.0,0.43564409017562866
harbor,sailing,39.0,0.3229149281978607
scenery,sunset,39.0,0.41642317175865173
green,violet,39.0,0.5086532235145569
harbor,ship,39.0,0.37134215235710144
summer,sunshine,39.0,0.5403455495834351
blue,grey,39.0,0.6935694217681885
art,graphic,39.0,0.5346888899803162
lake,shore,39.0,0.42329031229019165
rust,rusty,39.0,0.31166699528694153
architecture,design,39.0,0.7081478834152222
goose,swan,39.0,0.3265950381755829
architecture,construction,39.0,0.5681714415550232
hawk,nest,39.0,0.39108148217201233
carrots,salad,39.0,0.518748939037323
fruit,tomato,39.0,0.5163559913635254
purple,violet,39.0,0.587955892086029
misty,rain,39.0,0.41059964895248413
clothes,jean,39.0,0.32983243465423584
bloom,daffodils,39.0,0.312350332736969
brick,construction,39.0,0.3554845452308655
diner,restaurant,39.0,0.6201366186141968
ceiling,roof,39.0,0.5846768021583557
painted,portrait,39.0,0.5193856954574585
ripples,wave,39.0,0.18827520310878754
beard,face,39.0,0.4206238090991974
apple,raspberry,39.0,0.42780137062072754
fashion,outfit,39.0,0.6010786294937134
downtown,skyscraper,39.0,0.18073846399784088
buds,daffodils,39.0,0.21226440370082855
harbor,shore,39.0,0.3441949784755707
blonde,hair,39.0,0.6424134373664856
kittens,paws,39.0,0.47111254930496216
bay,shore,39.0,0.353473037481308
shop,store,39.0,0.7979913353919983
gravestone,memorial,38.0,0.18696367740631104
canine,pug,38.0,0.30002883076667786
crow,hawk,38.0,0.3992578685283661
dress,outfit,38.0,0.7532563805580139
city,urban,38.0,0.4704640805721283
bedroom,door,38.0,0.5343723297119141
bus,tram,38.0,0.6910862326622009
spring,summer,38.0,0.8177809715270996
scenery,waterfall,38.0,0.27103567123413086
road,traffic,38.0,0.6443382501602173
hill,valley,38.0,0.6325978636741638
ceiling,floor,38.0,0.5209377408027649
splash,water,38.0,0.5249109268188477
grass,weed,38.0,0.4698663651943207
sunny,weather,38.0,0.5868170857429504
parrot,wing,38.0,0.24842505156993866
daisy,violet,38.0,0.40704697370529175
copper,silver,38.0,0.6573145985603333
baseball,hockey,38.0,0.6984658241271973
pets,poodle,38.0,0.31479132175445557
blossom,foliage,38.0,0.33565714955329895
pink,purple,38.0,0.8313801884651184
grey,shade,38.0,0.45784616470336914
panorama,scenery,38.0,0.27868208289146423
downtown,metro,38.0,0.46845540404319763
beard,hair,38.0,0.6272018551826477
dandelion,petals,38.0,0.3952612578868866
blue,violet,38.0,0.608106791973114
daisy,flowers,38.0,0.45507967472076416
noodles,soup,38.0,0.6915594339370728
pets,puppy,38.0,0.5705437660217285
buds,petals,38.0,0.24554572999477386
ancient,ruins,38.0,0.3198198676109314
eyes,iris,38.0,0.25382426381111145
puddle,water,38.0,0.40503156185150146
harbor,sea,38.0,0.3008805513381958
painting,sculpture,38.0,0.6250420212745667
sand,sea,38.0,0.4502244293689728
feline,kittens,38.0,0.3861532509326935
birds,swan,38.0,0.3020770847797394
baseball,game,38.0,0.6256321668624878
colour,purple,38.0,0.6559649705886841
pool,splash,38.0,0.513243556022644
cattle,sheep,38.0,0.4954618215560913
landscape,scenery,38.0,0.45803937315940857
coins,gold,38.0,0.5295999646186829
boat,shore,38.0,0.3990068733692169
skyscraper,tall,38.0,0.21586717665195465
apple,cherry,38.0,0.44527047872543335
beef,chicken,38.0,0.6754764318466187
hot,sunny,38.0,0.4566860795021057
dessert,fruit,38.0,0.5841158628463745
photographer,portrait,38.0,0.5795106291770935
chicken,meat,38.0,0.6999887824058533
ceiling,interior,38.0,0.24386075139045715
bathroom,bedroom,38.0,0.6903297305107117
hummingbird,stork,38.0,0.3016741871833801
motor,vehicle,38.0,0.4172036945819855
colour,grey,38.0,0.48408493399620056
blue,orange,38.0,0.7534382939338684
dawn,dusk,38.0,0.5752971768379211
building,downtown,38.0,0.5276262164115906
face,tears,38.0,0.47548091411590576
boat,harbour,38.0,0.46095529198646545
cattle,farm,38.0,0.5000683069229126
dripping,wet,38.0,0.5421516299247742
brown,green,38.0,0.652592122554779
bedroom,ceiling,38.0,0.5446452498435974
bread,eat,38.0,0.6280028223991394
dinner,evening,38.0,0.628572404384613
face,smile,38.0,0.5946786999702454
bride,dress,38.0,0.4849254786968231
stone,wall,38.0,0.4221690893173218
mural,painted,38.0,0.45142924785614014
foliage,plant,38.0,0.23892270028591156
day,dusk,38.0,0.24586842954158783
roof,wall,38.0,0.5390571355819702
cooking,food,38.0,0.6556307077407837
photography,portrait,38.0,0.6465181112289429
buds,foliage,38.0,0.2382587492465973
lily,pond,37.0,0.35652950406074524
harbour,shore,37.0,0.3540898263454437
palm,tree,37.0,0.5823450684547424
bus,subway,37.0,0.4931645095348358
holiday,travel,37.0,0.607662558555603
skyline,view,37.0,0.42786237597465515
bedroom,cottage,37.0,0.49524739384651184
dinner,lunch,37.0,0.911436140537262
grave,memorial,37.0,0.2808300256729126
dessert,sweet,37.0,0.44171497225761414
birds,insects,37.0,0.465072363615036
concert,rock,37.0,0.48855745792388916
mushrooms,tomato,37.0,0.5438763499259949
metro,railway,37.0,0.3320764899253845
giraffe,zoo,37.0,0.5084499716758728
railway,subway,37.0,0.36513039469718933
misty,weather,37.0,0.39593976736068726
parrot,pelican,37.0,0.35786810517311096
bedroom,sleep,37.0,0.42205810546875
autumn,summer,37.0,0.6258856654167175
automobile,truck,37.0,0.43841153383255005
amphibians,mammals,37.0,0.41903337836265564
cemetery,memorial,37.0,0.4976990222930908
orange,purple,37.0,0.7219460606575012
blue,color,37.0,0.6342417597770691
daffodils,rose,37.0,0.15049982070922852
berry,seed,37.0,0.34360772371292114
hummingbird,mallard,37.0,0.2771758437156677
dandelion,grass,37.0,0.31506019830703735
brick,concrete,37.0,0.49064701795578003
costumes,dress,37.0,0.4888976216316223
cloud,mist,37.0,0.34011110663414
sea,tropical,37.0,0.3590729534626007
brown,grey,37.0,0.5861263871192932
bathroom,room,37.0,0.7388819456100464
daisy,plant,37.0,0.2343696802854538
painted,picture,37.0,0.444457083940506
eyes,lips,37.0,0.716809868812561
autumn,winter,37.0,0.7388014793395996
dripping,rain,37.0,0.3309966027736664
horizon,sky,37.0,0.5584930777549744
black,blue,37.0,0.7605205774307251
metro,station,37.0,0.6117585301399231
alley,street,37.0,0.5026656985282898
children,family,37.0,0.57649827003479
mountain,scenery,37.0,0.3064827024936676
concrete,construction,37.0,0.45753180980682373
mill,windmill,37.0,0.1900031566619873
summer,winter,37.0,0.7848450541496277
plant,twigs,37.0,0.16487736999988556
breakfast,lunch,37.0,0.8547731041908264
concrete,floor,37.0,0.5093837380409241
rain,sky,37.0,0.5231464505195618
food,frozen,37.0,0.4534558057785034
moss,plant,37.0,0.29105344414711
flowers,spring,37.0,0.47573593258857727
birds,mallard,37.0,0.11911259591579437
graphic,illustrations,37.0,0.509539008140564
eat,fruit,37.0,0.5637858510017395
ceiling,porch,37.0,0.46589159965515137
river,valley,37.0,0.5805636048316956
fog,mist,37.0,0.5714995265007019
dude,guy,37.0,0.8544315695762634
moon,sky,37.0,0.5767807960510254
bar,sushi,37.0,0.5118743777275085
beauty,scenery,37.0,0.2819035053253174
feathers,mallard,37.0,0.2640319764614105
furniture,patio,37.0,0.4435775876045227
light,shadow,37.0,0.5354610681533813
bay,harbour,37.0,0.44294631481170654
washing,water,37.0,0.49731534719467163
flight,owl,37.0,0.3079979121685028
paws,whiskers,37.0,0.39714309573173523
costumes,wig,37.0,0.36484816670417786
animals,giraffe,37.0,0.46130961179733276
autumn,foliage,37.0,0.4790145754814148
animals,cattle,37.0,0.43000519275665283
building,skyscraper,37.0,0.3115887939929962
ice,skating,37.0,0.5960168242454529
meat,potatoes,37.0,0.5454080700874329
buds,twigs,37.0,0.2978532910346985
knitting,stitches,37.0,0.34776613116264343
hot,sunshine,37.0,0.35906481742858887
bed,room,37.0,0.6773492693901062
music,rock,37.0,0.6306732892990112
cooking,rice,37.0,0.5951701998710632
berry,cherry,37.0,0.5747389793395996
piano,played,37.0,0.43381938338279724
flowers,lily,37.0,0.4381905198097229
cherry,strawberry,37.0,0.6343773603439331
clothes,skirt,37.0,0.5117455124855042
art,painting,37.0,0.7508847117424011
birds,gull,37.0,0.1400318592786789
spiral,staircase,37.0,0.3546275794506073
paws,pets,37.0,0.4702942371368408
feathers,nest,37.0,0.3869536221027374
feathers,owl,37.0,0.38189733028411865
blossom,cherry,37.0,0.5244343876838684
goats,sheep,37.0,0.5901021957397461
green,pink,37.0,0.7203375101089478
foliage,garden,37.0,0.25203821063041687
dog,husky,37.0,0.4996413290500641
feathers,hummingbird,37.0,0.3079025149345398
sunshine,weather,37.0,0.5393253564834595
snow,weather,37.0,0.730448305606842
surfers,wave,37.0,0.3596290051937103
breakfast,dinner,37.0,0.8438137173652649
shoes,toes,37.0,0.5337963104248047
band,played,37.0,0.4273257553577423
coffee,mug,37.0,0.5688178539276123
