word1,word2,SimLex,cos
meal,dinner,7.15,0.6843624711036682
eye,tear,3.55,0.18310490250587463
god,devil,1.8,0.4701502025127411
loop,belt,3.1,0.1625349372625351
rat,mouse,7.78,0.4651036560535431
motor,engine,8.65,0.47935694456100464
car,cab,7.42,0.536911129951477
cat,lion,6.75,0.3997730612754822
size,magnitude,6.33,0.3147696256637573
reality,fantasy,1.03,0.3383646011352539
door,gate,5.25,0.49684715270996094
cat,pet,5.95,0.6891531944274902
tin,aluminum,6.42,0.46522432565689087
bone,jaw,4.17,0.5343329906463623
cereal,wheat,3.75,0.5056747198104858
house,key,1.9,-0.041323304176330566
blood,flesh,4.28,0.321542888879776
door,corridor,3.73,0.13199840486049652
god,spirit,7.3,0.2195035070180893
capability,competence,7.62,0.3759242594242096
abundance,plenty,8.97,0.4814903736114502
sofa,chair,6.67,0.44572585821151733
wall,brick,4.68,0.40547099709510803
horn,drum,2.68,0.3339848220348358
organ,liver,6.15,0.44178506731987
strength,might,7.07,0.10109154134988785
phrase,word,5.48,0.6777031421661377
band,parade,3.92,0.17662711441516876
stomach,waist,5.9,0.39794379472732544
cloud,storm,5.6,0.22401833534240723
joy,pride,5.0,0.5261594653129578
noise,rattle,6.17,0.23610135912895203
rain,mist,5.97,0.44438865780830383
beer,beverage,5.42,0.5870227217674255
man,uncle,3.92,0.418631911277771
apple,juice,2.88,0.44745561480522156
intelligence,logic,6.5,0.24798265099525452
communication,language,7.47,0.2687939405441284
mink,fur,6.83,0.5750503540039062
mob,crowd,7.85,0.29903537034988403
shore,coast,8.83,0.5083667635917664
wire,cord,7.62,0.4634053409099579
bird,turkey,6.58,0.5290361046791077
bed,crib,7.3,0.4355013370513916
competence,ability,7.5,0.38287073373794556
cloud,haze,7.32,0.42392498254776
supper,meal,7.53,0.6666603684425354
bar,cage,2.8,0.2824673652648926
water,salt,1.3,0.3985915780067444
sense,intuition,7.68,0.410878986120224
situation,condition,6.58,0.44067996740341187
crime,theft,7.53,0.46570226550102234
style,fashion,8.5,0.38943347334861755
boundary,border,9.08,0.3860582411289215
arm,body,4.05,0.3339853584766388
boat,car,2.37,0.42365700006484985
sandwich,lunch,6.3,0.4964907765388489
bride,princess,2.8,0.5243436694145203
heroine,hero,8.78,0.5211057662963867
car,gauge,1.13,0.08229521661996841
insect,bee,6.07,0.5376728773117065
crib,cradle,8.55,0.31245219707489014
animal,person,3.05,0.25265613198280334
marijuana,herb,6.5,0.4327545166015625
bed,hospital,0.92,0.4499376714229584
cheek,tongue,4.52,0.4600926637649536
disc,computer,3.2,0.14514195919036865
curve,angle,3.33,0.3023527264595032
grass,moss,5.0,0.518739640712738
school,law,1.13,0.17905192077159882
foot,head,2.3,0.06727683544158936
mother,guardian,6.5,0.3982010781764984
orthodontist,dentist,8.27,0.7643089294433594
alcohol,whiskey,7.27,0.35267373919487
mouth,tooth,6.3,0.315893292427063
breakfast,bacon,4.37,0.43384018540382385
bathroom,bedroom,3.4,0.6174975037574768
plate,bowl,5.23,0.2422708123922348
meat,bacon,5.8,0.5192577838897705
air,helium,3.63,0.2905179262161255
worker,employer,5.37,0.4820759892463684
body,chest,4.45,0.3357207775115967
son,father,3.82,0.8933086395263672
heart,surgery,1.08,0.29090139269828796
woman,secretary,1.98,0.09048829972743988
man,father,4.83,0.4201101064682007
beach,island,5.6,0.5071322321891785
story,topic,5.0,0.29127103090286255
game,fun,3.42,0.2888330817222595
weekend,week,4.0,0.7129932045936584
couple,pair,8.33,0.5617907047271729
woman,wife,5.72,0.4448240101337433
sheep,cattle,4.77,0.6972129344940186
purse,bag,8.33,0.5455807447433472
ceiling,cathedral,2.42,0.1995999813079834
bean,coffee,5.15,0.4673911929130554
wood,paper,2.88,0.2623436748981476
top,side,1.9,0.22081567347049713
crime,fraud,5.65,0.3833908140659332
pain,harm,5.38,0.32126158475875854
lover,companion,5.97,0.4882543683052063
evening,dusk,7.78,0.41143155097961426
father,daughter,2.62,0.7374972105026245
wine,liquor,7.85,0.5197861194610596
cow,goat,2.93,0.6359611749649048
belief,opinion,7.7,0.4088289439678192
reality,illusion,1.42,0.3584873378276825
pact,agreement,9.02,0.7366201877593994
wealth,poverty,1.27,0.3359697163105011
accident,emergency,4.93,0.28311100602149963
battle,conquest,7.22,0.2839055359363556
friend,teacher,2.62,0.2847766578197479
illness,infection,6.9,0.568917989730835
game,trick,2.32,0.21976633369922638
brother,son,3.48,0.8379531502723694
aunt,nephew,3.1,0.6531843543052673
worker,mechanic,4.92,0.42206138372421265
doctor,orthodontist,5.58,0.5294244289398193
oak,maple,6.03,0.5628653764724731
bee,queen,3.27,0.25172314047813416
car,bicycle,3.47,0.5364484190940857
goal,quest,5.83,0.25766709446907043
august,month,5.53,0.1326729655265808
army,squad,5.08,0.27307000756263733
cloud,weather,4.87,0.19868992269039154
physician,doctor,8.88,0.780602216720581
canyon,valley,6.75,0.593040943145752
river,valley,1.67,0.5105667114257812
sun,sky,2.27,0.44621795415878296
target,arrow,3.25,0.19597800076007843
chocolate,pie,2.27,0.4060359001159668
circumstance,situation,7.85,0.5159298777580261
opinion,choice,5.43,0.2453446388244629
rhythm,melody,6.12,0.4920993745326996
gut,nerve,4.93,0.35100656747817993
day,dawn,5.47,0.331085741519928
cattle,beef,7.03,0.5763145685195923
doctor,professor,4.65,0.21336084604263306
arm,vein,3.65,0.10333386063575745
room,bath,3.33,0.3320293426513672
corporation,business,9.02,0.4157021939754486
fun,football,1.97,0.16729572415351868
hill,cliff,4.28,0.4819484055042267
bone,ankle,3.82,0.4084344506263733
apple,candy,2.08,0.40531349182128906
helper,maid,5.58,0.32715022563934326
leader,manager,7.27,0.2561182379722595
lemon,tea,1.6,0.3119375705718994
bee,ant,2.78,0.49015146493911743
basketball,baseball,4.92,0.6411849856376648
rice,bean,2.72,0.5618430972099304
bed,furniture,6.08,0.28118017315864563
emotion,passion,7.72,0.4846665561199188
anarchy,chaos,7.93,0.7509636282920837
crime,violation,7.12,0.19230641424655914
machine,engine,5.58,0.3661437928676605
beach,sea,4.68,0.40316450595855713
alley,bowl,1.53,0.1588098257780075
jar,bottle,7.83,0.5903207063674927
strength,capability,5.28,0.3549841344356537
seed,mustard,3.48,0.1645345240831375
guitar,drum,3.78,0.45741504430770874
opinion,idea,5.7,0.2575685381889343
north,west,3.63,0.9415395259857178
diet,salad,2.98,0.30582675337791443
mother,wife,3.02,0.7550681829452515
dad,mother,3.55,0.6608873009681702
captain,sailor,5.0,0.41698116064071655
meter,yard,5.6,0.33485332131385803
beer,champagne,4.45,0.484531044960022
motor,boat,2.57,0.3324846029281616
card,bridge,1.97,0.0704343318939209
science,psychology,4.92,0.48088350892066956
sinner,saint,1.6,0.5181178450584412
destruction,construction,0.98,0.22479130327701569
crowd,bunch,7.42,0.21541711688041687
beach,reef,3.77,0.5176929831504822
man,child,4.13,0.3163333833217621
bread,cheese,1.95,0.5404030680656433
champion,winner,8.73,0.624833881855011
celebration,ceremony,7.72,0.5641326904296875
menu,order,3.62,0.1002228632569313
king,princess,3.27,0.5161998271942139
wealth,prestige,6.07,0.3092089593410492
endurance,strength,6.58,0.40895703434944153
danger,threat,8.78,0.703889787197113
god,priest,4.5,0.2895970940589905
men,fraternity,3.13,0.271823525428772
buddy,companion,8.65,0.346951961517334
teacher,helper,4.28,0.304464191198349
body,stomach,3.93,0.384569376707077
tongue,throat,3.1,0.4414632022380829
house,carpet,1.38,0.2743813693523407
intelligence,skill,5.35,0.17074762284755707
journey,conquest,4.72,0.2734437584877014
god,prey,1.23,0.1148240864276886
brother,soul,0.97,0.19423170387744904
adversary,opponent,9.05,0.569244921207428
death,catastrophe,4.13,0.22828100621700287
monster,demon,6.95,0.6137953400611877
day,morning,4.87,0.6069666147232056
man,victor,1.9,0.1522703319787979
friend,guy,3.88,0.42429637908935547
song,story,3.97,0.3005060851573944
ray,sunshine,6.83,0.3021015524864197
guy,stud,5.83,0.2912672162055969
chicken,rice,1.43,0.4694630801677704
box,elevator,1.32,0.15596087276935577
butter,potato,1.22,0.4094437062740326
apartment,furniture,1.28,0.3046140670776367
lake,swamp,4.92,0.4265865981578827
salad,vinegar,1.13,0.427636057138443
flower,bulb,4.48,0.45975834131240845
cloud,mist,6.67,0.42500290274620056
driver,pilot,6.28,0.36687231063842773
sugar,honey,5.13,0.5061663389205933
body,shoulder,2.88,0.229212686419487
idea,image,3.55,0.20831695199012756
father,brother,4.2,0.8240807056427002
moon,planet,5.87,0.5024791955947876
ball,costume,2.32,0.07570742070674896
rail,fence,5.22,0.25941547751426697
room,bed,2.35,0.4871586561203003
flower,bush,4.25,0.29247742891311646
bone,knee,4.17,0.404372900724411
arm,knee,2.75,0.38825035095214844
bottom,side,2.63,0.3293294906616211
vessel,vein,5.15,0.09880819916725159
cat,rabbit,2.37,0.6261382699012756
meat,sandwich,2.35,0.4273114502429962
belief,concept,5.08,0.2607599198818207
intelligence,insight,5.9,0.26516956090927124
attention,interest,7.22,0.33788347244262695
attitude,confidence,4.35,0.367069274187088
right,justice,7.05,0.1549569070339203
argument,agreement,1.45,0.21823611855506897
depth,magnitude,6.12,0.2782542407512665
medium,news,3.65,0.06772888451814651
winner,candidate,2.78,0.26532164216041565
birthday,date,5.08,0.21549075841903687
fee,payment,7.15,0.4150501489639282
bible,hymn,5.15,0.3120243549346924
exit,doorway,5.5,0.1948719471693039
man,sentry,3.25,0.24395966529846191
aisle,hall,6.35,0.20660901069641113
whiskey,gin,6.28,0.6192510724067688
blood,marrow,3.4,0.4987516701221466
oil,mink,1.23,0.1663590520620346
floor,deck,5.55,0.3989698886871338
roof,floor,2.62,0.3790636658668518
door,floor,1.67,0.29206952452659607
shoulder,head,3.42,0.2620292007923126
wagon,carriage,7.7,0.4319045841693878
car,carriage,5.13,0.26711249351501465
elbow,ankle,3.13,0.708698570728302
wealth,fame,4.02,0.22197890281677246
sorrow,shame,4.77,0.4533797800540924
administration,management,7.25,0.24696969985961914
communication,conversation,8.02,0.32780179381370544
pollution,atmosphere,4.25,0.242711141705513
anatomy,biology,5.33,0.5296213626861572
college,profession,3.12,0.3479781448841095
book,topic,2.07,0.20630303025245667
formula,equation,7.95,0.4223008155822754
book,information,5.0,0.13239559531211853
boy,partner,1.9,0.044936150312423706
sky,universe,4.68,0.30387094616889954
population,people,7.68,0.36704206466674805
college,class,4.13,0.28127342462539673
chief,mayor,4.85,0.33474165201187134
rabbi,minister,7.62,0.2617681920528412
meter,inch,5.08,0.3510907292366028
polyester,cotton,5.63,0.5094481110572815
lawyer,banker,1.88,0.4165005087852478
violin,instrument,6.58,0.4961477518081665
camp,cabin,4.2,0.23830945789813995
pot,appliance,2.53,0.10723544657230377
linen,fabric,7.47,0.4746955633163452
whiskey,champagne,5.33,0.4412320554256439
girl,child,5.38,0.5892083048820496
cottage,cabin,7.72,0.43021857738494873
bird,hen,7.03,0.47691190242767334
racket,noise,8.1,0.1557038575410843
sunset,evening,5.98,0.314377099275589
drizzle,rain,9.17,0.6985521912574768
adult,baby,2.22,0.2511613070964813
charcoal,coal,7.63,0.35511335730552673
body,spine,4.78,0.302655965089798
head,nail,2.47,0.2175188660621643
log,timber,8.05,0.27525100111961365
spoon,cup,2.02,0.4725358188152313
body,nerve,3.13,0.154581218957901
man,husband,5.32,0.34499743580818176
bone,neck,2.53,0.3919183909893036
frustration,anger,6.5,0.7355939745903015
river,sea,5.72,0.47745341062545776
task,job,8.87,0.38535282015800476
club,society,5.23,0.20762011408805847
reflection,image,7.27,0.17029771208763123
prince,king,5.92,0.6159994006156921
snow,weather,5.48,0.5175462365150452
people,party,2.2,0.1357729583978653
boy,brother,6.67,0.5195391774177551
root,grass,3.55,0.304871529340744
brow,eye,3.82,0.2685977816581726
money,pearl,2.1,0.040970977395772934
money,diamond,3.42,0.1084802895784378
vehicle,bus,6.47,0.459687739610672
cab,bus,5.6,0.5723552107810974
house,barn,4.33,0.47702905535697937
finger,palm,3.33,0.4419479966163635
car,bridge,0.95,0.21903948485851288
effort,difficulty,4.45,0.0734524205327034
fact,insight,4.77,-0.00910334661602974
job,management,3.97,0.08469795435667038
cancer,sickness,7.93,0.32155758142471313
word,newspaper,2.47,0.10128180682659149
composer,writer,6.58,0.4504089951515198
actor,singer,4.52,0.5677170753479004
shelter,hut,6.47,0.3109467923641205
bathroom,kitchen,3.1,0.6556939482688904
cabin,hut,6.53,0.4247002899646759
door,kitchen,1.67,0.377437561750412
value,belief,7.07,0.15828648209571838
wisdom,intelligence,7.47,0.25622037053108215
ignorance,intelligence,1.5,0.15922287106513977
happiness,luck,2.38,0.2766033411026001
idea,scheme,6.75,0.2961559295654297
mood,emotion,8.12,0.2977032959461212
happiness,peace,6.03,0.3892468810081482
despair,misery,7.22,0.5727046132087708
logic,arithmetic,3.97,0.5052258372306824
denial,confession,1.03,0.3318880498409271
argument,criticism,5.08,0.2768050730228424
aggression,hostility,8.48,0.49974843859672546
hysteria,confusion,6.33,0.4401712119579315
chemistry,theory,3.17,0.24632351100444794
trial,verdict,3.33,0.47856977581977844
comfort,safety,5.8,0.35842546820640564
confidence,self,3.12,0.16245876252651215
vision,perception,6.88,0.3128757178783417
era,decade,5.4,0.4130411744117737
biography,fiction,1.38,0.4468485116958618
discussion,argument,5.48,0.3879876434803009
code,symbol,6.03,0.20313718914985657
danger,disease,3.0,0.14900797605514526
accident,catastrophe,5.9,0.3549482822418213
journey,trip,8.88,0.6164941191673279
activity,movement,7.15,0.317717045545578
gossip,news,5.22,0.4473145008087158
father,god,3.57,0.29471975564956665
action,course,5.45,0.25567442178726196
fever,illness,7.65,0.3419468104839325
aviation,flight,8.18,0.4478814899921417
game,action,4.85,0.23302924633026123
molecule,air,3.05,0.0388650968670845
home,state,2.58,0.1386733055114746
word,literature,4.77,0.2570263147354126
adult,guardian,6.9,0.3907521963119507
newspaper,information,5.65,0.081278957426548
communication,television,5.6,0.13698969781398773
cousin,uncle,4.63,0.7791938185691833
author,reader,1.6,0.3268599808216095
guy,partner,3.57,0.12389732152223587
area,corner,2.07,0.2693310081958771
ballad,song,7.53,0.739356517791748
wall,decoration,2.62,0.2199622243642807
word,page,2.92,0.19806894659996033
nurse,scientist,2.08,0.26532015204429626
politician,president,7.38,0.2733533978462219
president,mayor,5.68,0.3190075755119324
book,essay,4.72,0.5295542478561401
man,warrior,4.72,0.3151685297489166
article,journal,6.18,0.4581105411052704
breakfast,supper,4.4,0.6537050604820251
crowd,parade,3.93,0.32674047350883484
aisle,hallway,6.75,0.41977185010910034
teacher,rabbi,4.37,0.2817322909832001
hip,lip,1.43,0.29106011986732483
book,article,5.43,0.3697627782821655
room,cell,4.58,0.20464995503425598
box,booth,3.8,0.22506986558437347
daughter,kid,4.17,0.3756418228149414
limb,leg,6.9,0.42109328508377075
liver,lung,2.7,0.6386002898216248
classroom,hallway,2.0,0.483035683631897
mountain,ledge,3.73,0.3959362804889679
car,elevator,1.03,0.20775489509105682
bed,couch,3.42,0.5952101349830627
clothes,button,2.3,0.08494117110967636
clothes,coat,5.35,0.42891359329223633
kidney,organ,6.17,0.5244629383087158
apple,sauce,1.43,0.2672099769115448
chicken,steak,3.73,0.5359421968460083
car,hose,0.87,0.27726495265960693
tobacco,cigarette,7.5,0.6918033957481384
student,professor,1.95,0.4206618368625641
baby,daughter,5.0,0.5726259350776672
pipe,cigar,6.03,0.2883889079093933
milk,juice,4.05,0.5152169466018677
box,cigar,1.25,0.1662478893995285
apartment,hotel,3.33,0.5006557703018188
cup,cone,3.17,0.3018445372581482
horse,ox,3.02,0.4087126851081848
throat,nose,2.8,0.5164586305618286
bone,teeth,4.17,0.4439980685710907
bone,elbow,3.78,0.4030529856681824
bacon,bean,1.22,0.3277212977409363
cup,jar,5.13,0.4479709565639496
proof,fact,7.3,0.241240456700325
appointment,engagement,6.75,0.18287941813468933
birthday,year,1.67,0.2493916004896164
word,clue,2.53,0.3339550197124481
author,creator,8.02,0.4200025498867035
atom,carbon,3.1,0.24085277318954468
archbishop,bishop,7.05,0.8357887864112854
letter,paragraph,4.0,0.35563987493515015
page,paragraph,3.03,0.4409560263156891
steeple,chapel,7.08,0.4518231153488159
muscle,bone,3.65,0.49793484807014465
muscle,tongue,5.0,0.11445657908916473
boy,soldier,2.15,0.44217684864997864
belly,abdomen,8.13,0.4075859487056732
guy,girl,3.33,0.3644086718559265
bed,chair,3.5,0.34449389576911926
clothes,jacket,5.15,0.48631978034973145
gun,knife,3.65,0.5624210834503174
tin,metal,5.63,0.49633166193962097
bottle,container,7.93,0.4790023863315582
hen,turkey,6.13,0.4380180239677429
meat,bread,1.67,0.43856480717658997
arm,bone,3.83,0.336853951215744
neck,spine,5.32,0.5182883143424988
apple,lemon,4.05,0.4829235076904297
agony,grief,7.63,0.5327610969543457
assignment,task,8.7,0.4846028983592987
night,dawn,2.95,0.3211521804332733
dinner,soup,3.72,0.3987845778465271
calf,bull,4.93,0.25641849637031555
snow,storm,4.8,0.4667501747608185
nail,hand,3.42,0.2549535632133484
dog,horse,2.38,0.4825807511806488
arm,neck,1.58,0.4723540246486664
ball,glove,1.75,0.44267362356185913
flu,fever,6.08,0.4267771542072296
fee,salary,3.72,0.40209728479385376
nerve,brain,3.88,0.44375544786453247
beast,animal,7.83,0.37880173325538635
dinner,chicken,2.85,0.36362627148628235
girl,maid,2.93,0.45652422308921814
child,boy,5.75,0.5927850604057312
alcohol,wine,7.42,0.35430166125297546
nose,mouth,3.73,0.5034812092781067
street,car,2.38,0.3314124047756195
bell,door,2.2,0.17473214864730835
box,hat,1.3,0.19453352689743042
belief,impression,5.95,0.31896620988845825
bias,opinion,5.6,0.2526424825191498
attention,awareness,8.73,0.29102811217308044
anger,mood,4.1,0.30241483449935913
elegance,style,5.72,0.509803056716919
beauty,age,1.58,0.06980879604816437
book,theme,2.58,0.14749959111213684
friend,mother,2.53,0.5443423390388489
vitamin,iron,5.55,0.22408682107925415
car,factory,2.75,0.20023348927497864
pact,condition,2.45,0.10432801395654678
chapter,choice,0.48,0.03996874764561653
arithmetic,rhythm,2.35,0.11924469470977783
winner,presence,1.08,0.0534481480717659
belief,flower,0.4,0.05187905579805374
winner,goal,3.23,0.25781795382499695
trick,size,0.48,0.041157316416502
choice,vein,0.98,0.06950563937425613
hymn,conquest,0.68,0.21765324473381042
